,Topic
23720,Heart Failure
33043,Heart Failure
22738,Heart Failure
37361,Heart Failure
36606,Stroke
13596,Coronary Heart Disease
1101,Major Cardiovascular Disease
34557,Heart Failure
3748,Major Cardiovascular Disease
38364,Stroke
25,Major Cardiovascular Disease
33981,Heart Failure
34890,Heart Failure
42515,Stroke
28400,Heart Failure
16540,Coronary Heart Disease
6187,Diseases of the Heart (Heart Disease)
23707,Heart Failure
11880,Acute Myocardial Infarction (Heart Attack)
2801,Major Cardiovascular Disease
6609,Diseases of the Heart (Heart Disease)
28459,Heart Failure
5030,Diseases of the Heart (Heart Disease)
4536,Major Cardiovascular Disease
23430,Heart Failure
38382,Heart Failure
20429,Heart Failure
37886,Heart Failure
28599,Heart Failure
32300,Heart Failure
20532,Heart Failure
28288,Heart Failure
30613,Heart Failure
34674,Heart Failure
825,Major Cardiovascular Disease
21727,Heart Failure
39917,Stroke
26653,Heart Failure
25775,Heart Failure
22631,Heart Failure
39477,Stroke
2326,Major Cardiovascular Disease
27967,Heart Failure
22220,Heart Failure
4451,Diseases of the Heart (Heart Disease)
18239,Heart Failure
5991,Diseases of the Heart (Heart Disease)
34512,Heart Failure
15625,Coronary Heart Disease
4449,Major Cardiovascular Disease
26203,Heart Failure
4586,Diseases of the Heart (Heart Disease)
2610,Major Cardiovascular Disease
10249,Acute Myocardial Infarction (Heart Attack)
29966,Heart Failure
41472,Stroke
30532,Heart Failure
37220,Heart Failure
9717,Acute Myocardial Infarction (Heart Attack)
32847,Heart Failure
20715,Heart Failure
25851,Heart Failure
3970,Major Cardiovascular Disease
15340,Coronary Heart Disease
26663,Heart Failure
2926,Major Cardiovascular Disease
19715,Heart Failure
35239,Heart Failure
23429,Heart Failure
18427,Heart Failure
6041,Diseases of the Heart (Heart Disease)
26366,Heart Failure
34,Major Cardiovascular Disease
37743,Heart Failure
16833,Coronary Heart Disease
33472,Heart Failure
11648,Acute Myocardial Infarction (Heart Attack)
17081,Coronary Heart Disease
10491,Diseases of the Heart (Heart Disease)
35949,Heart Failure
30457,Heart Failure
38047,Stroke
41385,Stroke
29905,Heart Failure
33148,Heart Failure
39511,Stroke
15717,Coronary Heart Disease
27429,Heart Failure
34029,Heart Failure
41946,Stroke
12014,Acute Myocardial Infarction (Heart Attack)
6745,Diseases of the Heart (Heart Disease)
20717,Heart Failure
8979,Acute Myocardial Infarction (Heart Attack)
14365,Coronary Heart Disease
11878,Acute Myocardial Infarction (Heart Attack)
12159,Acute Myocardial Infarction (Heart Attack)
1318,Major Cardiovascular Disease
22321,Heart Failure
7808,Diseases of the Heart (Heart Disease)
38251,Stroke
3357,Major Cardiovascular Disease
773,Major Cardiovascular Disease
26903,Heart Failure
20656,Heart Failure
5979,Diseases of the Heart (Heart Disease)
17742,Coronary Heart Disease
25359,Heart Failure
8465,Diseases of the Heart (Heart Disease)
19752,Coronary Heart Disease
12955,Acute Myocardial Infarction (Heart Attack)
41537,Stroke
33582,Heart Failure
24046,Heart Failure
37720,Heart Failure
34793,Heart Failure
9650,Acute Myocardial Infarction (Heart Attack)
26199,Heart Failure
37669,Heart Failure
29820,Heart Failure
19733,Heart Failure
31552,Heart Failure
31188,Heart Failure
10731,Acute Myocardial Infarction (Heart Attack)
42062,Stroke
21574,Heart Failure
33456,Heart Failure
42348,Stroke
13160,Acute Myocardial Infarction (Heart Attack)
39672,Stroke
14644,Coronary Heart Disease
28570,Heart Failure
37765,Stroke
33265,Heart Failure
41242,Stroke
12854,Acute Myocardial Infarction (Heart Attack)
8446,Diseases of the Heart (Heart Disease)
40320,Stroke
19462,Heart Failure
23288,Heart Failure
8522,Diseases of the Heart (Heart Disease)
22942,Heart Failure
9460,Diseases of the Heart (Heart Disease)
39011,Stroke
19061,Heart Failure
34959,Heart Failure
29149,Heart Failure
14715,Acute Myocardial Infarction (Heart Attack)
9636,Acute Myocardial Infarction (Heart Attack)
24920,Heart Failure
40718,Stroke
19702,Coronary Heart Disease
22113,Heart Failure
14046,Coronary Heart Disease
17773,Coronary Heart Disease
23728,Heart Failure
2949,Major Cardiovascular Disease
7439,Diseases of the Heart (Heart Disease)
10155,Acute Myocardial Infarction (Heart Attack)
24498,Heart Failure
23411,Heart Failure
34044,Heart Failure
16502,Coronary Heart Disease
16690,Coronary Heart Disease
24659,Heart Failure
13208,Acute Myocardial Infarction (Heart Attack)
9025,Acute Myocardial Infarction (Heart Attack)
15929,Coronary Heart Disease
37056,Heart Failure
4726,Diseases of the Heart (Heart Disease)
4707,Diseases of the Heart (Heart Disease)
8469,Diseases of the Heart (Heart Disease)
24045,Heart Failure
23918,Heart Failure
26412,Heart Failure
28393,Heart Failure
13523,Coronary Heart Disease
31368,Heart Failure
37781,Heart Failure
22807,Heart Failure
28214,Stroke
1012,Major Cardiovascular Disease
29980,Heart Failure
6761,Diseases of the Heart (Heart Disease)
10997,Acute Myocardial Infarction (Heart Attack)
10711,Diseases of the Heart (Heart Disease)
36489,Heart Failure
1385,Major Cardiovascular Disease
7518,Diseases of the Heart (Heart Disease)
5766,Diseases of the Heart (Heart Disease)
33308,Heart Failure
17686,Coronary Heart Disease
2078,Major Cardiovascular Disease
7489,Diseases of the Heart (Heart Disease)
22000,Heart Failure
7432,Diseases of the Heart (Heart Disease)
7576,Diseases of the Heart (Heart Disease)
3187,Major Cardiovascular Disease
16491,Coronary Heart Disease
21118,Heart Failure
8940,Diseases of the Heart (Heart Disease)
3539,Major Cardiovascular Disease
4231,Major Cardiovascular Disease
33315,Heart Failure
20027,Coronary Heart Disease
30734,Heart Failure
24295,Heart Failure
34250,Heart Failure
5111,Diseases of the Heart (Heart Disease)
7678,Diseases of the Heart (Heart Disease)
39314,Stroke
13360,Acute Myocardial Infarction (Heart Attack)
37710,Heart Failure
28729,Heart Failure
34506,Heart Failure
36002,Heart Failure
4247,Major Cardiovascular Disease
24938,Heart Failure
23201,Heart Failure
23060,Heart Failure
41498,Stroke
21954,Heart Failure
11999,Acute Myocardial Infarction (Heart Attack)
31413,Heart Failure
6925,Diseases of the Heart (Heart Disease)
14695,Coronary Heart Disease
38692,Stroke
1409,Major Cardiovascular Disease
4490,Diseases of the Heart (Heart Disease)
38286,Heart Failure
2219,Major Cardiovascular Disease
1440,Major Cardiovascular Disease
11238,Acute Myocardial Infarction (Heart Attack)
461,Major Cardiovascular Disease
24209,Heart Failure
15787,Coronary Heart Disease
4152,Major Cardiovascular Disease
2908,Major Cardiovascular Disease
6593,Diseases of the Heart (Heart Disease)
40670,Stroke
35356,Heart Failure
14945,Coronary Heart Disease
10456,Acute Myocardial Infarction (Heart Attack)
39801,Stroke
28690,Heart Failure
40163,Stroke
4159,Major Cardiovascular Disease
16361,Coronary Heart Disease
4687,Diseases of the Heart (Heart Disease)
42415,Stroke
6766,Diseases of the Heart (Heart Disease)
31056,Heart Failure
4097,Major Cardiovascular Disease
14518,Coronary Heart Disease
14408,Acute Myocardial Infarction (Heart Attack)
12458,Acute Myocardial Infarction (Heart Attack)
6935,Diseases of the Heart (Heart Disease)
1315,Major Cardiovascular Disease
12075,Acute Myocardial Infarction (Heart Attack)
29020,Heart Failure
6157,Diseases of the Heart (Heart Disease)
19673,Coronary Heart Disease
32284,Heart Failure
11643,Acute Myocardial Infarction (Heart Attack)
8945,Acute Myocardial Infarction (Heart Attack)
12620,Acute Myocardial Infarction (Heart Attack)
38785,Stroke
414,Major Cardiovascular Disease
42014,Stroke
6146,Diseases of the Heart (Heart Disease)
23658,Heart Failure
121,Major Cardiovascular Disease
728,Major Cardiovascular Disease
9245,Acute Myocardial Infarction (Heart Attack)
23404,Heart Failure
29473,Heart Failure
2640,Major Cardiovascular Disease
28101,Heart Failure
285,Major Cardiovascular Disease
3479,Major Cardiovascular Disease
36160,Heart Failure
12442,Acute Myocardial Infarction (Heart Attack)
11786,Acute Myocardial Infarction (Heart Attack)
4820,Diseases of the Heart (Heart Disease)
34670,Heart Failure
15725,Coronary Heart Disease
41538,Stroke
19602,Coronary Heart Disease
12070,Acute Myocardial Infarction (Heart Attack)
19375,Coronary Heart Disease
24574,Heart Failure
25029,Heart Failure
18514,Coronary Heart Disease
16039,Coronary Heart Disease
24537,Heart Failure
29784,Heart Failure
30597,Heart Failure
11288,Acute Myocardial Infarction (Heart Attack)
897,Major Cardiovascular Disease
14321,Coronary Heart Disease
29633,Heart Failure
10182,Acute Myocardial Infarction (Heart Attack)
24407,Heart Failure
28585,Heart Failure
17917,Heart Failure
6440,Diseases of the Heart (Heart Disease)
21981,Heart Failure
17027,Coronary Heart Disease
24615,Heart Failure
28706,Heart Failure
26763,Heart Failure
23476,Heart Failure
8672,Acute Myocardial Infarction (Heart Attack)
20011,Heart Failure
16042,Coronary Heart Disease
34463,Heart Failure
41763,Stroke
25823,Heart Failure
29693,Heart Failure
10845,Acute Myocardial Infarction (Heart Attack)
26771,Heart Failure
11730,Acute Myocardial Infarction (Heart Attack)
1462,Major Cardiovascular Disease
11518,Acute Myocardial Infarction (Heart Attack)
16430,Coronary Heart Disease
41961,Stroke
31254,Heart Failure
34417,Heart Failure
21011,Heart Failure
18472,Coronary Heart Disease
5177,Diseases of the Heart (Heart Disease)
8930,Acute Myocardial Infarction (Heart Attack)
20760,Heart Failure
20836,Heart Failure
25706,Heart Failure
14157,Coronary Heart Disease
31589,Heart Failure
21798,Heart Failure
32460,Heart Failure
28939,Heart Failure
32131,Heart Failure
17688,Coronary Heart Disease
11149,Acute Myocardial Infarction (Heart Attack)
39228,Stroke
39836,Stroke
25044,Heart Failure
32985,Heart Failure
33822,Heart Failure
35265,Heart Failure
29252,Heart Failure
41770,Stroke
4165,Major Cardiovascular Disease
33624,Heart Failure
22428,Heart Failure
2742,Major Cardiovascular Disease
12687,Acute Myocardial Infarction (Heart Attack)
5515,Diseases of the Heart (Heart Disease)
10492,Acute Myocardial Infarction (Heart Attack)
2595,Major Cardiovascular Disease
35526,Heart Failure
31431,Heart Failure
38467,Stroke
5130,Diseases of the Heart (Heart Disease)
38886,Stroke
9801,Acute Myocardial Infarction (Heart Attack)
2636,Major Cardiovascular Disease
18838,Heart Failure
34784,Heart Failure
21357,Heart Failure
32172,Heart Failure
9568,Acute Myocardial Infarction (Heart Attack)
7699,Diseases of the Heart (Heart Disease)
4455,Diseases of the Heart (Heart Disease)
24811,Heart Failure
16226,Coronary Heart Disease
15886,Coronary Heart Disease
17966,Heart Failure
5719,Diseases of the Heart (Heart Disease)
21344,Heart Failure
9018,Acute Myocardial Infarction (Heart Attack)
28108,Heart Failure
11646,Acute Myocardial Infarction (Heart Attack)
21772,Heart Failure
6639,Diseases of the Heart (Heart Disease)
5561,Major Cardiovascular Disease
29370,Heart Failure
19777,Heart Failure
26018,Heart Failure
318,Major Cardiovascular Disease
16469,Coronary Heart Disease
27515,Heart Failure
21651,Heart Failure
17483,Coronary Heart Disease
3296,Major Cardiovascular Disease
14028,Acute Myocardial Infarction (Heart Attack)
35259,Heart Failure
3550,Major Cardiovascular Disease
38970,Stroke
4645,Diseases of the Heart (Heart Disease)
18987,Coronary Heart Disease
15015,Coronary Heart Disease
21423,Heart Failure
23230,Heart Failure
26375,Heart Failure
28696,Heart Failure
16270,Coronary Heart Disease
16714,Coronary Heart Disease
30769,Heart Failure
317,Major Cardiovascular Disease
5889,Diseases of the Heart (Heart Disease)
19635,Heart Failure
9468,Acute Myocardial Infarction (Heart Attack)
34572,Heart Failure
6636,Diseases of the Heart (Heart Disease)
37533,Heart Failure
19557,Heart Failure
21873,Heart Failure
23150,Heart Failure
15687,Coronary Heart Disease
27225,Heart Failure
29352,Heart Failure
10509,Acute Myocardial Infarction (Heart Attack)
31628,Heart Failure
10421,Diseases of the Heart (Heart Disease)
37525,Stroke
31750,Heart Failure
33198,Heart Failure
13776,Coronary Heart Disease
30762,Heart Failure
21420,Heart Failure
6580,Diseases of the Heart (Heart Disease)
27775,Heart Failure
14983,Acute Myocardial Infarction (Heart Attack)
17270,Coronary Heart Disease
18857,Coronary Heart Disease
1175,Major Cardiovascular Disease
20915,Heart Failure
18576,Heart Failure
14543,Coronary Heart Disease
33398,Heart Failure
10654,Acute Myocardial Infarction (Heart Attack)
13579,Acute Myocardial Infarction (Heart Attack)
27683,Heart Failure
7507,Diseases of the Heart (Heart Disease)
24297,Heart Failure
783,Major Cardiovascular Disease
25248,Heart Failure
303,Major Cardiovascular Disease
19144,Heart Failure
5443,Major Cardiovascular Disease
28023,Heart Failure
36132,Heart Failure
24521,Heart Failure
42342,Stroke
40650,Stroke
16924,Coronary Heart Disease
29881,Heart Failure
7380,Diseases of the Heart (Heart Disease)
21972,Heart Failure
17362,Coronary Heart Disease
4625,Diseases of the Heart (Heart Disease)
32579,Heart Failure
17173,Coronary Heart Disease
6971,Diseases of the Heart (Heart Disease)
5671,Diseases of the Heart (Heart Disease)
31165,Heart Failure
41078,Stroke
2129,Major Cardiovascular Disease
1478,Major Cardiovascular Disease
17297,Coronary Heart Disease
15692,Coronary Heart Disease
5378,Diseases of the Heart (Heart Disease)
19023,Heart Failure
37162,Heart Failure
28184,Heart Failure
29709,Heart Failure
35324,Heart Failure
4898,Diseases of the Heart (Heart Disease)
28857,Heart Failure
30227,Heart Failure
10506,Acute Myocardial Infarction (Heart Attack)
6,Stroke
38362,Heart Failure
29438,Heart Failure
15335,Coronary Heart Disease
3917,Major Cardiovascular Disease
16890,Coronary Heart Disease
24173,Heart Failure
5011,Major Cardiovascular Disease
17958,Heart Failure
23049,Heart Failure
35014,Heart Failure
14106,Coronary Heart Disease
6206,Diseases of the Heart (Heart Disease)
1831,Major Cardiovascular Disease
15275,Acute Myocardial Infarction (Heart Attack)
4167,Major Cardiovascular Disease
6358,Diseases of the Heart (Heart Disease)
33714,Heart Failure
20636,Heart Failure
3803,Major Cardiovascular Disease
18787,Coronary Heart Disease
40852,Stroke
10916,Acute Myocardial Infarction (Heart Attack)
35675,Heart Failure
35130,Heart Failure
13061,Acute Myocardial Infarction (Heart Attack)
1482,Major Cardiovascular Disease
34757,Heart Failure
31166,Heart Failure
11194,Acute Myocardial Infarction (Heart Attack)
35661,Heart Failure
27282,Heart Failure
31269,Heart Failure
28050,Heart Failure
14686,Coronary Heart Disease
19005,Coronary Heart Disease
33580,Heart Failure
16195,Coronary Heart Disease
17443,Coronary Heart Disease
21569,Heart Failure
36770,Heart Failure
21471,Heart Failure
6325,Diseases of the Heart (Heart Disease)
10901,Acute Myocardial Infarction (Heart Attack)
17825,Heart Failure
8492,Diseases of the Heart (Heart Disease)
32662,Heart Failure
36913,Stroke
3785,Major Cardiovascular Disease
12742,Acute Myocardial Infarction (Heart Attack)
11945,Acute Myocardial Infarction (Heart Attack)
5215,Diseases of the Heart (Heart Disease)
12623,Acute Myocardial Infarction (Heart Attack)
15421,Coronary Heart Disease
4522,Diseases of the Heart (Heart Disease)
41291,Stroke
27452,Heart Failure
6538,Diseases of the Heart (Heart Disease)
5800,Diseases of the Heart (Heart Disease)
36465,Stroke
36928,Heart Failure
41945,Stroke
42110,Stroke
2479,Major Cardiovascular Disease
1881,Major Cardiovascular Disease
16934,Coronary Heart Disease
33301,Heart Failure
11488,Acute Myocardial Infarction (Heart Attack)
24120,Heart Failure
3059,Major Cardiovascular Disease
25174,Heart Failure
3995,Major Cardiovascular Disease
35629,Heart Failure
24248,Heart Failure
36482,Heart Failure
25163,Heart Failure
21113,Heart Failure
41706,Stroke
32209,Heart Failure
40246,Stroke
27716,Heart Failure
41096,Stroke
1499,Major Cardiovascular Disease
35061,Heart Failure
37323,Heart Failure
410,Major Cardiovascular Disease
11282,Acute Myocardial Infarction (Heart Attack)
26642,Heart Failure
3196,Major Cardiovascular Disease
5873,Diseases of the Heart (Heart Disease)
37763,Heart Failure
20427,Heart Failure
25891,Heart Failure
21438,Heart Failure
3910,Major Cardiovascular Disease
37487,Heart Failure
12103,Acute Myocardial Infarction (Heart Attack)
18660,Heart Failure
11809,Acute Myocardial Infarction (Heart Attack)
8961,Acute Myocardial Infarction (Heart Attack)
23992,Heart Failure
42195,Stroke
30171,Heart Failure
21554,Heart Failure
39297,Stroke
40993,Stroke
39496,Stroke
8709,Diseases of the Heart (Heart Disease)
34347,Heart Failure
5389,Diseases of the Heart (Heart Disease)
10798,Acute Myocardial Infarction (Heart Attack)
39670,Stroke
6724,Diseases of the Heart (Heart Disease)
33803,Heart Failure
10426,Acute Myocardial Infarction (Heart Attack)
21831,Heart Failure
3214,Major Cardiovascular Disease
7088,Diseases of the Heart (Heart Disease)
4749,Diseases of the Heart (Heart Disease)
31815,Heart Failure
38268,Heart Failure
19925,Coronary Heart Disease
493,Major Cardiovascular Disease
5291,Diseases of the Heart (Heart Disease)
39033,Stroke
20191,Heart Failure
16843,Coronary Heart Disease
8345,Diseases of the Heart (Heart Disease)
22691,Heart Failure
12089,Acute Myocardial Infarction (Heart Attack)
7624,Diseases of the Heart (Heart Disease)
17080,Coronary Heart Disease
4250,Major Cardiovascular Disease
13700,Acute Myocardial Infarction (Heart Attack)
15958,Coronary Heart Disease
1756,Major Cardiovascular Disease
37918,Stroke
31177,Heart Failure
33569,Heart Failure
18429,Heart Failure
2016,Major Cardiovascular Disease
18043,Heart Failure
21283,Heart Failure
31660,Heart Failure
42476,Stroke
21636,Heart Failure
3842,Major Cardiovascular Disease
38688,Stroke
31540,Heart Failure
36035,Heart Failure
9465,Acute Myocardial Infarction (Heart Attack)
4867,Major Cardiovascular Disease
2365,Major Cardiovascular Disease
32295,Heart Failure
11833,Acute Myocardial Infarction (Heart Attack)
6482,Diseases of the Heart (Heart Disease)
14837,Coronary Heart Disease
11933,Acute Myocardial Infarction (Heart Attack)
19218,Heart Failure
4960,Diseases of the Heart (Heart Disease)
41290,Stroke
10645,Acute Myocardial Infarction (Heart Attack)
438,Major Cardiovascular Disease
32031,Heart Failure
1016,Major Cardiovascular Disease
5826,Diseases of the Heart (Heart Disease)
7488,Diseases of the Heart (Heart Disease)
13719,Coronary Heart Disease
11128,Acute Myocardial Infarction (Heart Attack)
37221,Stroke
38147,Heart Failure
4399,Diseases of the Heart (Heart Disease)
11398,Acute Myocardial Infarction (Heart Attack)
17330,Coronary Heart Disease
31995,Heart Failure
4478,Diseases of the Heart (Heart Disease)
4510,Diseases of the Heart (Heart Disease)
28049,Heart Failure
9119,Acute Myocardial Infarction (Heart Attack)
16840,Coronary Heart Disease
32010,Heart Failure
29133,Heart Failure
1945,Major Cardiovascular Disease
26818,Heart Failure
22836,Heart Failure
11015,Acute Myocardial Infarction (Heart Attack)
37516,Heart Failure
31440,Heart Failure
4535,Diseases of the Heart (Heart Disease)
27984,Heart Failure
32357,Heart Failure
3056,Major Cardiovascular Disease
37881,Heart Failure
4447,Major Cardiovascular Disease
24079,Heart Failure
13293,Acute Myocardial Infarction (Heart Attack)
28037,Heart Failure
5043,Diseases of the Heart (Heart Disease)
21897,Heart Failure
32877,Heart Failure
36026,Heart Failure
25023,Heart Failure
25343,Heart Failure
42422,Stroke
18162,Heart Failure
30647,Heart Failure
32530,Heart Failure
40110,Stroke
33407,Heart Failure
18241,Heart Failure
38127,Heart Failure
3678,Major Cardiovascular Disease
13244,Acute Myocardial Infarction (Heart Attack)
16311,Coronary Heart Disease
39553,Stroke
16932,Coronary Heart Disease
42284,Stroke
40231,Stroke
4906,Diseases of the Heart (Heart Disease)
4961,Major Cardiovascular Disease
42283,Stroke
28656,Heart Failure
16611,Coronary Heart Disease
25504,Heart Failure
14125,Acute Myocardial Infarction (Heart Attack)
823,Major Cardiovascular Disease
16358,Coronary Heart Disease
36341,Heart Failure
12146,Acute Myocardial Infarction (Heart Attack)
1625,Major Cardiovascular Disease
38541,Stroke
26752,Heart Failure
36963,Stroke
32196,Heart Failure
33093,Heart Failure
30425,Heart Failure
31821,Heart Failure
13554,Coronary Heart Disease
4569,Diseases of the Heart (Heart Disease)
23182,Heart Failure
17570,Coronary Heart Disease
26298,Heart Failure
23971,Heart Failure
1977,Major Cardiovascular Disease
31205,Heart Failure
11755,Acute Myocardial Infarction (Heart Attack)
41874,Stroke
28933,Heart Failure
16694,Coronary Heart Disease
34084,Heart Failure
32976,Heart Failure
402,Major Cardiovascular Disease
32787,Heart Failure
18345,Heart Failure
3038,Major Cardiovascular Disease
10479,Acute Myocardial Infarction (Heart Attack)
29537,Heart Failure
4700,Diseases of the Heart (Heart Disease)
29924,Heart Failure
631,Major Cardiovascular Disease
23208,Heart Failure
951,Major Cardiovascular Disease
17526,Coronary Heart Disease
11560,Acute Myocardial Infarction (Heart Attack)
29467,Heart Failure
41146,Stroke
16049,Coronary Heart Disease
12812,Acute Myocardial Infarction (Heart Attack)
23441,Heart Failure
33817,Heart Failure
38882,Stroke
16571,Coronary Heart Disease
23334,Heart Failure
6071,Diseases of the Heart (Heart Disease)
40831,Stroke
8643,Diseases of the Heart (Heart Disease)
7213,Diseases of the Heart (Heart Disease)
33430,Heart Failure
3032,Major Cardiovascular Disease
11859,Acute Myocardial Infarction (Heart Attack)
14860,Coronary Heart Disease
9357,Diseases of the Heart (Heart Disease)
19194,Heart Failure
16053,Coronary Heart Disease
29334,Heart Failure
4827,Diseases of the Heart (Heart Disease)
39142,Stroke
1399,Major Cardiovascular Disease
15266,Acute Myocardial Infarction (Heart Attack)
18363,Heart Failure
4594,Major Cardiovascular Disease
3565,Major Cardiovascular Disease
34095,Heart Failure
41020,Stroke
1569,Major Cardiovascular Disease
5843,Major Cardiovascular Disease
21811,Heart Failure
38848,Stroke
38092,Heart Failure
40426,Stroke
13892,Coronary Heart Disease
14650,Acute Myocardial Infarction (Heart Attack)
1390,Major Cardiovascular Disease
3976,Major Cardiovascular Disease
39023,Stroke
29638,Heart Failure
32859,Heart Failure
5114,Major Cardiovascular Disease
28664,Heart Failure
23793,Heart Failure
13446,Coronary Heart Disease
26227,Heart Failure
2480,Major Cardiovascular Disease
34441,Heart Failure
26467,Heart Failure
23760,Heart Failure
19448,Heart Failure
40931,Stroke
36542,Heart Failure
1784,Major Cardiovascular Disease
20723,Heart Failure
21726,Heart Failure
17364,Heart Failure
33469,Heart Failure
16668,Coronary Heart Disease
25908,Heart Failure
27477,Heart Failure
19328,Heart Failure
559,Major Cardiovascular Disease
29340,Heart Failure
12695,Acute Myocardial Infarction (Heart Attack)
29153,Heart Failure
1915,Major Cardiovascular Disease
36652,Heart Failure
41628,Stroke
456,Major Cardiovascular Disease
36628,Stroke
25473,Heart Failure
13452,Coronary Heart Disease
4182,Major Cardiovascular Disease
15296,Coronary Heart Disease
2853,Major Cardiovascular Disease
27698,Heart Failure
18986,Heart Failure
8376,Diseases of the Heart (Heart Disease)
5550,Diseases of the Heart (Heart Disease)
17903,Heart Failure
31763,Heart Failure
13658,Coronary Heart Disease
32527,Heart Failure
12476,Acute Myocardial Infarction (Heart Attack)
10336,Diseases of the Heart (Heart Disease)
3481,Major Cardiovascular Disease
3844,Major Cardiovascular Disease
15685,Coronary Heart Disease
18065,Coronary Heart Disease
38067,Heart Failure
5970,Diseases of the Heart (Heart Disease)
9261,Acute Myocardial Infarction (Heart Attack)
39123,Stroke
30041,Heart Failure
32084,Heart Failure
34122,Heart Failure
27845,Heart Failure
21330,Heart Failure
33002,Heart Failure
27729,Heart Failure
34795,Heart Failure
15962,Coronary Heart Disease
34677,Heart Failure
40192,Stroke
20861,Heart Failure
36564,Stroke
37708,Heart Failure
25243,Heart Failure
28463,Heart Failure
17815,Heart Failure
19918,Heart Failure
23511,Heart Failure
35146,Heart Failure
15781,Coronary Heart Disease
29536,Heart Failure
37812,Heart Failure
10730,Acute Myocardial Infarction (Heart Attack)
17220,Coronary Heart Disease
151,Major Cardiovascular Disease
14402,Coronary Heart Disease
24060,Heart Failure
10055,Acute Myocardial Infarction (Heart Attack)
25991,Heart Failure
35908,Heart Failure
5594,Diseases of the Heart (Heart Disease)
25672,Heart Failure
10879,Acute Myocardial Infarction (Heart Attack)
5548,Major Cardiovascular Disease
16113,Coronary Heart Disease
41762,Stroke
14607,Acute Myocardial Infarction (Heart Attack)
40757,Stroke
13419,Coronary Heart Disease
33791,Heart Failure
14393,Coronary Heart Disease
7597,Diseases of the Heart (Heart Disease)
42500,Stroke
38212,Stroke
12931,Acute Myocardial Infarction (Heart Attack)
26607,Heart Failure
5673,Diseases of the Heart (Heart Disease)
40847,Stroke
2656,Major Cardiovascular Disease
36014,Heart Failure
10934,Acute Myocardial Infarction (Heart Attack)
40070,Stroke
33304,Heart Failure
39533,Stroke
31570,Heart Failure
10316,Acute Myocardial Infarction (Heart Attack)
7508,Diseases of the Heart (Heart Disease)
22497,Heart Failure
8525,Diseases of the Heart (Heart Disease)
22223,Heart Failure
32407,Heart Failure
40994,Stroke
27086,Heart Failure
8535,Diseases of the Heart (Heart Disease)
17227,Coronary Heart Disease
11280,Acute Myocardial Infarction (Heart Attack)
14979,Coronary Heart Disease
19092,Heart Failure
22315,Heart Failure
6266,Diseases of the Heart (Heart Disease)
3528,Major Cardiovascular Disease
8157,Diseases of the Heart (Heart Disease)
17653,Coronary Heart Disease
11045,Acute Myocardial Infarction (Heart Attack)
7646,Diseases of the Heart (Heart Disease)
4098,Major Cardiovascular Disease
8538,Diseases of the Heart (Heart Disease)
5126,Diseases of the Heart (Heart Disease)
7162,Diseases of the Heart (Heart Disease)
17077,Coronary Heart Disease
35956,Heart Failure
22225,Heart Failure
28223,Heart Failure
20400,Heart Failure
22195,Heart Failure
35501,Heart Failure
19964,Coronary Heart Disease
1394,Major Cardiovascular Disease
35351,Heart Failure
1032,Major Cardiovascular Disease
13880,Acute Myocardial Infarction (Heart Attack)
11420,Acute Myocardial Infarction (Heart Attack)
25964,Heart Failure
39122,Stroke
9970,Diseases of the Heart (Heart Disease)
40398,Stroke
38037,Heart Failure
21750,Heart Failure
13613,Coronary Heart Disease
24868,Heart Failure
28158,Heart Failure
33183,Heart Failure
24026,Heart Failure
33809,Heart Failure
6757,Diseases of the Heart (Heart Disease)
12990,Acute Myocardial Infarction (Heart Attack)
16065,Coronary Heart Disease
41259,Stroke
17117,Coronary Heart Disease
18696,Heart Failure
10168,Acute Myocardial Infarction (Heart Attack)
21592,Heart Failure
11821,Acute Myocardial Infarction (Heart Attack)
25110,Heart Failure
32613,Heart Failure
11637,Acute Myocardial Infarction (Heart Attack)
13034,Acute Myocardial Infarction (Heart Attack)
14501,Acute Myocardial Infarction (Heart Attack)
12574,Acute Myocardial Infarction (Heart Attack)
28695,Heart Failure
1067,Major Cardiovascular Disease
6641,Diseases of the Heart (Heart Disease)
42203,Stroke
748,Major Cardiovascular Disease
4367,Diseases of the Heart (Heart Disease)
38020,Stroke
10330,Diseases of the Heart (Heart Disease)
13226,Acute Myocardial Infarction (Heart Attack)
6497,Diseases of the Heart (Heart Disease)
19228,Heart Failure
29995,Heart Failure
2222,Major Cardiovascular Disease
32598,Heart Failure
9607,Diseases of the Heart (Heart Disease)
30240,Heart Failure
39921,Stroke
23188,Heart Failure
6215,Diseases of the Heart (Heart Disease)
20134,Heart Failure
711,Major Cardiovascular Disease
35606,Heart Failure
9922,Diseases of the Heart (Heart Disease)
1900,Major Cardiovascular Disease
37921,Heart Failure
38420,Heart Failure
41635,Stroke
10886,Diseases of the Heart (Heart Disease)
25910,Heart Failure
36585,Stroke
35401,Heart Failure
41648,Stroke
14159,Coronary Heart Disease
2651,Major Cardiovascular Disease
10360,Acute Myocardial Infarction (Heart Attack)
15212,Acute Myocardial Infarction (Heart Attack)
23432,Heart Failure
2984,Major Cardiovascular Disease
16971,Coronary Heart Disease
16532,Coronary Heart Disease
9103,Acute Myocardial Infarction (Heart Attack)
3968,Major Cardiovascular Disease
6531,Diseases of the Heart (Heart Disease)
31329,Heart Failure
4595,Diseases of the Heart (Heart Disease)
20072,Heart Failure
8528,Diseases of the Heart (Heart Disease)
