,Year,LocationDesc,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,GeoLocation
21356,2006,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.1,6.1,6.1,6.1,Gender,Male,
21373,2011,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.5,5.5,5.4,5.6,Race,Hispanic,
21516,2007,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.9,6.9,6.9,7.0,Race,Non-Hispanic Black,
21557,2008,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.0,6.0,5.9,6.0,Age,75+,
21596,2008,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.8,5.8,5.7,6.0,Race,Hispanic,
21693,2007,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.2,5.2,5.2,5.2,Gender,Female,
21780,2011,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.6,4.6,4.5,4.7,Race,Other,
21781,2006,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.6,5.6,5.6,5.6,Gender,Female,
21796,2009,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.7,6.7,6.7,6.8,Race,Non-Hispanic Black,
21928,2010,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.2,5.2,5.1,5.2,Race,Non-Hispanic White,
21977,2009,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.1,5.1,5.1,5.1,Gender,Female,
22010,2007,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.2,4.2,4.2,4.2,Age,65+,
22177,2006,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.5,4.5,4.5,4.5,Age,65+,
22288,2008,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.6,4.6,4.5,4.7,Race,Other,
22334,2008,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.0,4.0,4.0,4.0,Age,65+,
22404,2010,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.1,6.1,6.1,6.1,Age,75+,
22412,2009,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.0,4.0,4.0,4.1,Age,65+,
22457,2013,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.3,5.3,5.2,5.4,Race,Hispanic,
22505,2012,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.9,4.9,4.8,4.9,Race,Non-Hispanic White,
22580,2011,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.0,5.0,5.0,5.0,Race,Non-Hispanic White,
22617,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",21.7,21.7,21.6,21.8,Gender,Female,
22664,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",32.6,32.6,32.4,32.9,Race,Non-Hispanic Black,
22689,2011,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.4,5.4,5.4,5.5,Gender,Male,
22794,2011,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.4,6.4,6.3,6.4,Race,Non-Hispanic Black,
22826,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.4,20.4,20.4,20.5,Race,Non-Hispanic White,
22919,2013,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.9,5.9,5.9,6.0,Age,75+,
22986,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",15.3,15.3,15.1,15.6,Race,Other,
23011,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.3,20.3,20.2,20.3,Race,Non-Hispanic White,
23025,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",21.4,21.4,21.3,21.4,Race,Non-Hispanic White,
23109,2012,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.8,5.8,5.8,5.8,Age,75+,
23148,2012,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.3,5.3,5.3,5.4,Gender,Male,
23211,2013,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.9,4.9,4.9,5.0,Race,Non-Hispanic White,
23295,2013,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.4,5.4,5.4,5.4,Gender,Male,
23400,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.5,20.5,20.4,20.5,Gender,Female,
23546,2011,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.8,3.8,3.8,3.9,Age,65+,
23585,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",33.4,33.4,33.2,33.6,Race,Non-Hispanic Black,
23627,2013,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.3,6.3,6.3,6.4,Race,Non-Hispanic Black,
23639,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.4,20.4,20.3,20.5,Gender,Female,
23710,2012,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.8,4.8,4.8,4.8,Gender,Female,
23745,2012,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.8,3.8,3.7,3.8,Age,65+,
23783,2013,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.8,4.8,4.8,4.9,Gender,Female,
23797,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",15.9,15.9,15.6,16.1,Race,Other,
23897,2012,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.4,5.4,5.3,5.5,Race,Hispanic,
23957,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",23.5,23.5,23.1,23.9,Race,Hispanic,
24015,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.7,17.7,17.4,17.9,Race,Other,
24037,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",23.2,23.2,23.1,23.3,Gender,Male,
24092,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.2,22.2,22.2,22.3,Gender,Male,
24119,2012,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.3,6.3,6.2,6.3,Race,Non-Hispanic Black,
24160,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.3,22.3,22.2,22.4,Gender,Male,
24188,2011,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.9,5.9,5.9,5.9,Age,75+,
24284,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",25.1,25.1,24.6,25.5,Race,Hispanic,
24378,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",31.9,31.9,31.7,32.1,Race,Non-Hispanic Black,
24410,2013,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.8,3.8,3.8,3.8,Age,65+,
24435,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",25.6,25.6,25.1,26.0,Race,Hispanic,
24561,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",12.1,12.1,11.9,12.3,Race,Other,
24584,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.9,19.9,19.9,20.0,Gender,Male,
24619,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",21.4,21.4,21.0,21.8,Race,Hispanic,
24638,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.8,17.8,17.7,17.8,Gender,Female,
24678,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",12.7,12.7,12.5,12.9,Race,Other,
24752,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",23.3,23.3,22.9,23.7,Race,Hispanic,
24828,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.3,17.3,17.2,17.3,Race,Non-Hispanic White,
24856,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",32.4,32.4,32.1,32.6,Race,Non-Hispanic Black,
24863,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.5,3.5,3.5,3.5,Age,65+,
25019,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.0,18.0,17.9,18.1,Gender,Female,
25022,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.0,19.0,18.9,19.1,Gender,Male,
25040,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.5,22.5,22.1,22.9,Race,Hispanic,
25076,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",7.7,7.7,7.5,8.0,Race,Other,
25091,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.3,19.3,19.2,19.4,Gender,Male,
25104,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.2,18.2,18.2,18.3,Gender,Female,
25384,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.3,17.3,17.2,17.4,Gender,Female,
25414,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.4,18.4,18.4,18.5,Race,Non-Hispanic White,
25440,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.9,17.9,17.8,17.9,Race,Non-Hispanic White,
25649,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.1,18.1,18.1,18.2,Race,Non-Hispanic White,
25658,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",21.0,21.0,20.6,21.4,Race,Hispanic,
25844,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.1,4.1,4.1,4.2,Age,75+,
25854,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",30.6,30.6,30.3,30.8,Race,Non-Hispanic Black,
25907,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.7,18.7,18.6,18.7,Gender,Female,
25952,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.4,20.4,20.3,20.4,Gender,Male,
25970,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",29.6,29.6,29.3,29.8,Race,Non-Hispanic Black,
25972,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",12.2,12.2,12.0,12.4,Race,Other,
26016,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.7,19.7,19.6,19.8,Gender,Male,
26045,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",13.4,13.4,13.1,13.6,Race,Other,
26073,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",29.6,29.6,29.4,29.8,Race,Non-Hispanic Black,
26077,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",28.2,28.2,28.0,28.5,Race,Non-Hispanic Black,
26082,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",13.4,13.4,13.2,13.6,Race,Other,
26512,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.4,22.4,22.0,22.8,Race,Hispanic,
26557,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.6,17.6,17.6,17.7,Race,Non-Hispanic White,
26614,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.8,20.8,20.4,21.2,Race,Hispanic,
26684,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",14.2,14.2,14.1,14.3,Gender,Male,
26688,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",9.2,9.2,9.2,9.3,Gender,Female,
26710,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",10.3,10.3,10.2,10.3,Race,Non-Hispanic White,
26764,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",10.7,10.7,10.6,10.8,Gender,Female,
26880,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",11.3,11.3,11.0,11.5,Race,Other,
26888,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",25.6,25.6,25.3,25.9,Race,Non-Hispanic Black,
26899,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",26.5,26.5,26.2,26.8,Race,Non-Hispanic Black,
26967,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.8,18.8,18.7,18.9,Gender,Male,
26990,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.2,17.2,17.2,17.3,Race,Non-Hispanic White,
27040,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",13.7,13.7,13.6,13.8,Gender,Male,
27190,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",11.6,11.6,11.5,11.6,Gender,Female,
27244,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",12.7,12.7,12.5,12.9,Race,Other,
27274,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",11.9,11.9,11.8,12.0,Gender,Male,
27387,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.0,17.0,16.9,17.0,Gender,Female,
27424,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.2,17.2,16.7,17.8,Race,Hispanic,
27527,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",30.8,30.8,30.6,31.1,Race,Non-Hispanic Black,
27547,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",21.6,21.6,21.2,22.0,Race,Hispanic,
27713,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",11.3,11.3,11.2,11.4,Race,Non-Hispanic White,
27826,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",26.4,26.4,26.1,26.7,Race,Non-Hispanic Black,
27835,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",13.0,13.0,12.7,13.3,Race,Other,
27869,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",23.8,23.8,23.6,24.1,Race,Non-Hispanic Black,
27919,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",16.9,16.9,16.8,16.9,Race,Non-Hispanic White,
27938,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.2,19.2,19.1,19.3,Gender,Male,
27966,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",10.1,10.1,9.9,10.4,Race,Other,
27969,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",12.9,12.9,12.7,13.1,Race,Other,
28081,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",9.1,9.1,9.1,9.2,Race,Non-Hispanic White,
28193,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",29.8,29.8,29.6,30.0,Race,Non-Hispanic Black,
28225,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",10.6,10.6,10.5,10.6,Race,Non-Hispanic White,
28263,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",10.4,10.4,10.3,10.5,Gender,Female,
28316,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among older adults with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.5,17.5,17.4,17.5,Gender,Female,
28403,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",15.7,15.7,15.2,16.2,Race,Hispanic,
28485,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",13.1,13.1,13.0,13.2,Gender,Male,
